domain,subject,native_coordinate_axis,candidate_factor_pixels,expected_level1_footprint_pixels,expert_best_residue,expert_max_alignment_fraction,prediction_best_residue,prediction_max_alignment_fraction,prediction_minus_expert_alignment,expert_transition_count,prediction_transition_count,condition
CAMRI,064,x,2,1.5999999403953562,0,0.50346511261616,0,0.5003919724051427,-0.0030731402110173445,12698,12756,current_best
CAMRI,064,x,3,1.5999999403953562,2,0.3354071507323988,2,0.3385073690812167,0.003100218348817907,12698,12756,current_best
CAMRI,064,x,4,1.5999999403953562,0,0.25791463222554734,0,0.26175917215428035,0.003844539928733015,12698,12756,current_best
CAMRI,064,x,5,1.5999999403953562,4,0.21389195148842338,4,0.21966133584195674,0.005769384353533358,12698,12756,current_best
CAMRI,064,x,6,1.5999999403953562,5,0.1803433611592377,5,0.18697083725305738,0.006627476093819695,12698,12756,current_best
CAMRI,064,x,7,1.5999999403953562,1,0.16711293117026305,1,0.16933207902163688,0.002219147851373837,12698,12756,current_best
CAMRI,064,x,8,1.5999999403953562,1,0.14789730666246653,1,0.15443712762621511,0.006539820963748583,12698,12756,current_best
CAMRI,064,y,2,2.4999999627470975,1,0.5084377397085145,1,0.5211839121613557,0.012746172452841265,7822,8379,current_best
CAMRI,064,y,3,2.4999999627470975,2,0.3394272564561493,2,0.3622150614631818,0.02278780500703248,7822,8379,current_best
CAMRI,064,y,4,2.4999999627470975,3,0.2550498593710049,3,0.28237259816207183,0.027322738791066947,7822,8379,current_best
CAMRI,064,y,5,2.4999999627470975,2,0.20646893377652775,3,0.24107888769542904,0.03460995391890129,7822,8379,current_best
CAMRI,064,y,6,2.4999999627470975,5,0.17847097928918434,5,0.20599116839718343,0.027520189107999082,7822,8379,current_best
CAMRI,064,y,7,2.4999999627470975,1,0.14727691127588852,3,0.17400644468313642,0.026729533407247902,7822,8379,current_best
CAMRI,064,y,8,2.4999999627470975,7,0.13244694451546918,7,0.1655328798185941,0.033085935303124925,7822,8379,current_best
CAMRI,064,x,2,1.5999999403953562,0,0.50346511261616,1,0.5034199726402189,-4.513997594113306e-05,12698,13158,unetr_style
CAMRI,064,x,3,1.5999999403953562,2,0.3354071507323988,2,0.3428332573339413,0.007426106601542526,12698,13158,unetr_style
CAMRI,064,x,4,1.5999999403953562,0,0.25791463222554734,0,0.2701018391852865,0.012187206959739183,12698,13158,unetr_style
CAMRI,064,x,5,1.5999999403953562,4,0.21389195148842338,2,0.21333029335765313,-0.0005616581307702484,12698,13158,unetr_style
CAMRI,064,x,6,1.5999999403953562,5,0.1803433611592377,5,0.19045447636418908,0.010111115204951393,12698,13158,unetr_style
CAMRI,064,x,7,1.5999999403953562,1,0.16711293117026305,1,0.17373461012311903,0.0066216789528559805,12698,13158,unetr_style
CAMRI,064,x,8,1.5999999403953562,1,0.14789730666246653,0,0.15526675786593708,0.007369451203470545,12698,13158,unetr_style
CAMRI,064,y,2,2.4999999627470975,1,0.5084377397085145,1,0.5090742016999771,0.0006364619914626113,7822,8706,unetr_style
CAMRI,064,y,3,2.4999999627470975,2,0.3394272564561493,2,0.34447507466115324,0.00504781820500394,7822,8706,unetr_style
CAMRI,064,y,4,2.4999999627470975,3,0.2550498593710049,3,0.26108430967149093,0.0060344503004860495,7822,8706,unetr_style
CAMRI,064,y,5,2.4999999627470975,2,0.20646893377652775,0,0.2091660923501034,0.0026971585735756365,7822,8706,unetr_style
CAMRI,064,y,6,2.4999999627470975,5,0.17847097928918434,5,0.1850447966919366,0.006573817402752258,7822,8706,unetr_style
CAMRI,064,y,7,2.4999999627470975,1,0.14727691127588852,6,0.15426142889960948,0.006984517623720959,7822,8706,unetr_style
CAMRI,064,y,8,2.4999999627470975,7,0.13244694451546918,7,0.13841029175281416,0.005963347237344985,7822,8706,unetr_style
CAMRI,007,x,2,3.1999998807907124,0,0.5756929637526652,1,0.5196011004126547,-0.056091863340010484,2814,2908,current_best
CAMRI,007,x,3,3.1999998807907124,0,0.34506041222459133,0,0.35385144429160936,0.008791032067018034,2814,2908,current_best
CAMRI,007,x,4,3.1999998807907124,2,0.3034825870646766,3,0.2740715268225585,-0.029411060242118148,2814,2908,current_best
CAMRI,007,x,5,3.1999998807907124,2,0.2085998578535892,0,0.2125171939477304,0.003917336094141188,2814,2908,current_best
CAMRI,007,x,6,3.1999998807907124,0,0.19900497512437812,3,0.1887895460797799,-0.010215429044598212,2814,2908,current_best
CAMRI,007,x,7,3.1999998807907124,3,0.16062544420753375,5,0.16162310866574967,0.0009976644582159189,2814,2908,current_best
CAMRI,007,x,8,3.1999998807907124,6,0.15636105188343993,7,0.13892709766162312,-0.017433954221816816,2814,2908,current_best
CAMRI,007,y,2,4.999999925494195,0,0.556926528323051,0,0.5240089335566722,-0.03291759476637879,3566,3582,current_best
CAMRI,007,y,3,4.999999925494195,1,0.339035333707235,1,0.3458961474036851,0.006860813696450085,3566,3582,current_best
CAMRI,007,y,4,4.999999925494195,0,0.3051037577117218,0,0.2646566164154104,-0.04044714129631144,3566,3582,current_best
CAMRI,007,y,5,4.999999925494195,0,0.2319125070106562,1,0.33556672250139585,0.10365421549073967,3566,3582,current_best
CAMRI,007,y,6,4.999999925494195,2,0.18900729108244532,0,0.18592964824120603,-0.003077642841239292,3566,3582,current_best
CAMRI,007,y,7,4.999999925494195,6,0.16320807627593942,5,0.20268006700167504,0.03947199072573562,3566,3582,current_best
CAMRI,007,y,8,4.999999925494195,0,0.16881660123387549,7,0.19905080960357344,0.03023420836969795,3566,3582,current_best
CAMRI,007,x,2,3.1999998807907124,0,0.5756929637526652,1,0.5061728395061729,-0.06952012424649234,2814,2916,unetr_style
CAMRI,007,x,3,3.1999998807907124,0,0.34506041222459133,0,0.3549382716049383,0.009877859380346965,2814,2916,unetr_style
CAMRI,007,x,4,3.1999998807907124,2,0.3034825870646766,1,0.26406035665294925,-0.03942223041172738,2814,2916,unetr_style
CAMRI,007,x,5,3.1999998807907124,2,0.2085998578535892,0,0.20507544581618656,-0.003524412037402641,2814,2916,unetr_style
CAMRI,007,x,6,3.1999998807907124,0,0.19900497512437812,0,0.1776406035665295,-0.02136437155784862,2814,2916,unetr_style
CAMRI,007,x,7,3.1999998807907124,3,0.16062544420753375,2,0.15877914951989025,-0.001846294687643496,2814,2916,unetr_style
CAMRI,007,x,8,3.1999998807907124,6,0.15636105188343993,5,0.14300411522633744,-0.013356936657102497,2814,2916,unetr_style
CAMRI,007,y,2,4.999999925494195,0,0.556926528323051,0,0.543141592920354,-0.013784935402696985,3566,3616,unetr_style
CAMRI,007,y,3,4.999999925494195,1,0.339035333707235,0,0.3456858407079646,0.006650507000729611,3566,3616,unetr_style
