domain,subject,image_path,ground_truth_path,baseline_raw_prediction_path,baseline_filtered_prediction_path,baseline_probability_path,level0_raw_prediction_path,level0_filtered_prediction_path,level0_probability_path,baseline_raw_dice,baseline_raw_hd95_mm,baseline_raw_assd_mm,baseline_raw_fp_voxels,baseline_raw_fn_voxels,baseline_raw_surface_dice_0.1mm,baseline_raw_surface_dice_0.2mm,baseline_raw_surface_dice_0.5mm,baseline_raw_surface_dice_1mm,baseline_raw_iou,baseline_raw_precision,baseline_raw_recall,baseline_raw_fp_fn_ratio,baseline_raw_total_residual_error,baseline_filtered_dice,baseline_filtered_hd95_mm,baseline_filtered_assd_mm,baseline_filtered_fp_voxels,baseline_filtered_fn_voxels,baseline_filtered_surface_dice_0.1mm,baseline_filtered_surface_dice_0.2mm,baseline_filtered_surface_dice_0.5mm,baseline_filtered_surface_dice_1mm,baseline_filtered_iou,baseline_filtered_precision,baseline_filtered_recall,baseline_filtered_fp_fn_ratio,baseline_filtered_total_residual_error,level0_raw_dice,level0_raw_hd95_mm,level0_raw_assd_mm,level0_raw_fp_voxels,level0_raw_fn_voxels,level0_raw_surface_dice_0.1mm,level0_raw_surface_dice_0.2mm,level0_raw_surface_dice_0.5mm,level0_raw_surface_dice_1mm,level0_raw_iou,level0_raw_precision,level0_raw_recall,level0_raw_fp_fn_ratio,level0_raw_total_residual_error,level0_filtered_dice,level0_filtered_hd95_mm,level0_filtered_assd_mm,level0_filtered_fp_voxels,level0_filtered_fn_voxels,level0_filtered_surface_dice_0.1mm,level0_filtered_surface_dice_0.2mm,level0_filtered_surface_dice_0.5mm,level0_filtered_surface_dice_1mm,level0_filtered_iou,level0_filtered_precision,level0_filtered_recall,level0_filtered_fp_fn_ratio,level0_filtered_total_residual_error
CAMRI,064,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-064/ses-1/anat/sub-064_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-064_ses-1_acq-RARE_T2w_077.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/camri/064_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/camri/064_probability.nii.gz,0.9865218659787482,0.20000000298023224,0.04441593787253673,2958,4064,0.8106220815532879,0.8106220815532879,0.9959833657408065,0.996551087897583,0.9734022203956714,0.9886205822045603,0.9844320414941257,0.7278543307086615,7022,0.9869860027998241,0.20000000298023224,0.03869130370559149,2713,4064,0.8134506921893694,0.8134506921893694,0.9994587819745913,0.9998860593630718,0.9743063822688636,0.989553250313826,0.9844320414941257,0.6675688976377953,6777,0.9861587902355717,0.20000000298023224,0.0433749660660009,2534,4663,0.8028762139398974,0.8028762139398974,0.9982811470478701,0.9985819463144928,0.9726955076768987,0.9902131932643288,0.9821374531218277,0.5434269783401244,7197,0.9863617652376977,0.20000000298023224,0.040823777424289144,2427,4663,0.8041086261064169,0.8041086261064169,0.9998135050999182,1.0,0.9730905281695487,0.9906225730546765,0.9821374531218277,0.5204803774394167,7090
CAMRI,007,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-007/ses-1/anat/sub-007_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-007_ses-1_acq-RARE_T2w_123.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/camri/007_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/camri/007_probability.nii.gz,0.9861910044061033,0.10000000149011612,0.013673964349371346,1852,2169,0.8985573164664914,0.979518157913439,0.9988913367919835,1.0,0.9727581908349368,0.9872657888403754,0.9851185575498106,0.8538497003227293,4021,0.9861910044061033,0.10000000149011612,0.013673964349371346,1852,2169,0.8985573164664914,0.979518157913439,0.9988913367919835,1.0,0.9727581908349368,0.9872657888403754,0.9851185575498106,0.8538497003227293,4021,0.9857284276522026,0.10000000149011612,0.01399554183696278,1788,2364,0.8980494443184396,0.9789634837831708,0.9986391471989113,1.0,0.971858479056527,0.9876839146966441,0.9837806685328503,0.7563451776649747,4152,0.9857284276522026,0.10000000149011612,0.01399554183696278,1788,2364,0.8980494443184396,0.9789634837831708,0.9986391471989113,1.0,0.971858479056527,0.9876839146966441,0.9837806685328503,0.7563451776649747,4152
CAMRI,043,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-043/ses-1/anat/sub-043_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-043_ses-1_acq-RARE_T2w_019.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/camri/043_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/camri/043_probability.nii.gz,0.9866273670913678,0.10000000149011612,0.015312004563230142,1951,1606,0.9047721015601101,0.9860966656469868,0.996971550933007,0.9974151116549403,0.9736076691349964,0.9853493331731347,0.9879087206282045,1.2148194271481942,3557,0.9872546290374762,0.10000000149011612,0.01119174731118449,1782,1606,0.9071168974559507,0.9886522212510159,0.999555289751729,1.0,0.9748300583187846,0.9866014030180678,0.9879087206282045,1.1095890410958904,3388,0.9852813592677861,0.10000000149011612,0.019591981245786802,2267,1652,0.8991618369613167,0.9787340847898508,0.9940370252057379,0.9958624256529609,0.9709897105633282,0.9830108364933527,0.9875623950671194,1.3722760290556901,3919,0.9862926147044228,0.10000000149011612,0.01335284416449203,1994,1652,0.9029114349433294,0.9828155072862249,0.9981822625484985,0.9998319738490209,0.9729559328571322,0.9850260954454999,0.9875623950671194,1.2070217917675545,3646
CAMRI,078,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-078/ses-1/anat/sub-078_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-078_ses-1_acq-RARE_T2w_069.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/camri/078_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/camri/078_probability.nii.gz,0.988743661925794,0.20000000298023224,0.03225822499561905,3143,2367,0.8497372720448625,0.8497372720448625,0.9970415507572747,0.9997056269410224,0.977737913424321,0.9871787026952056,0.9903135908464047,1.3278411491339248,5510,0.9888709318219431,0.20000000298023224,0.03164703490536551,3080,2367,0.8505259436047026,0.8505259436047026,0.9978932791184183,0.9997053537228557,0.9779868494966517,0.9874324699276958,0.9903135908464047,1.3012251795521756,5447,0.9888512173276458,0.20000000298023224,0.03201771868978145,2874,2578,0.8441046611550657,0.8441046611550657,0.9995110676504578,0.9998666548137612,0.9779482844396268,0.9882530379017326,0.9894501213358815,1.1148176881303336,5452,0.9888957055214724,0.20000000298023224,0.0317194292957234,2852,2578,0.844379890917714,0.844379890917714,0.9998369694095328,1.0,0.9780353133911778,0.9883419106676422,0.9894501213358815,1.1062839410395655,5430
CAMRI,009,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-009/ses-1/anat/sub-009_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-009_ses-1_acq-RARE_T2w_060.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/camri/009_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/camri/009_probability.nii.gz,0.986199096751515,0.10000000149011612,0.011516787252836285,2299,1313,0.9012156407278359,0.9890050329074719,0.999845141308556,1.0,0.9727739377539253,0.9824976780303607,0.9899285100638193,1.750952018278751,3612,0.986199096751515,0.10000000149011612,0.011516787252836285,2299,1313,0.9012156407278359,0.9890050329074719,0.999845141308556,1.0,0.9727739377539253,0.9824976780303607,0.9899285100638193,1.750952018278751,3612,0.9864702322124924,0.10000000149011612,0.01212567312875461,1925,1607,0.905253370525337,0.9871687587168759,0.99860529986053,0.999628079962808,0.9733016864082,0.9852700365762209,0.9876733554246441,1.1978842563783447,3532,0.9866138474269777,0.10000000149011612,0.011527215466988743,1887,1607,0.9057867642498294,0.9877504186565775,0.9991936984432178,1.0,0.9735813390798079,0.9855566101279775,0.9876733554246441,1.1742377100186683,3494
CAMRI,099,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-099/ses-1/anat/sub-099_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-099_ses-1_acq-RARE_T2w_014.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/camri/099_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/camri/099_probability.nii.gz,0.9866599046035527,0.10000000149011612,0.013146782664068516,2884,1272,0.9026306708077831,0.9825197101218444,0.997849804889703,1.0,0.9736710400445996,0.9815809473932953,0.9917916948988481,2.2672955974842766,4156,0.9866694057565827,0.10000000149011612,0.013109839370708443,2881,1272,0.9026666135733152,0.9825588340700036,0.9978895392824434,1.0,0.9736895455063797,0.9815997547485534,0.9917916948988481,2.264937106918239,4153,0.9876404747862463,0.10000000149011612,0.011494277062566088,2096,1739,0.9109745717629535,0.9859692520480903,0.9986700712841792,1.0,0.9755827353703338,0.9865054531875717,0.9887781111863969,1.2052903967797586,3835,0.9876404747862463,0.10000000149011612,0.011494277062566088,2096,1739,0.9109745717629535,0.9859692520480903,0.9986700712841792,1.0,0.9755827353703338,0.9865054531875717,0.9887781111863969,1.2052903967797586,3835
Mouse,POLYIC_20190510_mouse34__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/mouse/POLYIC_20190510_mouse34__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse34__E2_P1_probability.nii.gz,0.9666573535191859,0.20000000298023224,0.0471528564906049,4178,2863,0.6803614178701058,0.9180631709012279,0.9995623857698149,1.0,0.935466427144245,0.9606750562389993,0.9727146233607807,1.4593084177436255,7041,0.9666573535191859,0.20000000298023224,0.0471528564906049,4178,2863,0.6803614178701058,0.9180631709012279,0.9995623857698149,1.0,0.935466427144245,0.9606750562389993,0.9727146233607807,1.4593084177436255,7041,0.9677160617605775,0.20000000298023224,0.044399016121759366,3180,3582,0.6924503038417963,0.9268204758471521,0.9994592645998558,1.0,0.9374514374514374,0.9695769473623788,0.9658623055809699,0.8877721943048577,6762,0.9677160617605775,0.20000000298023224,0.044399016121759366,3180,3582,0.6924503038417963,0.9268204758471521,0.9994592645998558,1.0,0.9374514374514374,0.9695769473623788,0.9658623055809699,0.8877721943048577,6762
Mouse,POLYIC_20190510_mouse35__E3_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/mouse/POLYIC_20190510_mouse35__E3_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse35__E3_P1_probability.nii.gz,0.9670163046241893,0.20000000298023224,0.044364055717833584,3828,3307,0.6780888774723863,0.9239147187259183,0.9983303365014128,1.0,0.9361389816248534,0.9646928610957388,0.9693509671081288,1.157544602358633,7135,0.9670163046241893,0.20000000298023224,0.044364055717833584,3828,3307,0.6780888774723863,0.9239147187259183,0.9983303365014128,1.0,0.9361389816248534,0.9646928610957388,0.9693509671081288,1.157544602358633,7135,0.9690903656098792,0.20000000298023224,0.03888971931442759,2464,4154,0.6967355062162371,0.9419990178086795,1.0,1.0,0.9400342506093528,0.9768004594714196,0.9615010333738033,0.5931632161771786,6618,0.9690903656098792,0.20000000298023224,0.03888971931442759,2464,4154,0.6967355062162371,0.9419990178086795,1.0,1.0,0.9400342506093528,0.9768004594714196,0.9615010333738033,0.5931632161771786,6618
Mouse,POLYIC_20190510_mouse37__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/mouse/POLYIC_20190510_mouse37__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse37__E2_P1_probability.nii.gz,0.9719678572459316,0.20000000298023224,0.041217050607011085,3589,3210,0.706282722513089,0.9318657782008567,0.9987148976677772,1.0,0.9454644624652084,0.9704514206206107,0.9734890404849607,1.118068535825545,6799,0.9719678572459316,0.20000000298023224,0.041217050607011085,3589,3210,0.706282722513089,0.9318657782008567,0.9987148976677772,1.0,0.9454644624652084,0.9704514206206107,0.9734890404849607,1.118068535825545,6799,0.975099882296381,0.14142135834465194,0.03308552709943128,2564,3444,0.7397507847426995,0.9547940644915819,0.999952439836393,1.0,0.9514096695404622,0.9786692401124774,0.9715564658661072,0.7444831591173054,6008,0.975099882296381,0.14142135834465194,0.03308552709943128,2564,3444,0.7397507847426995,0.9547940644915819,0.999952439836393,1.0,0.9514096695404622,0.9786692401124774,0.9715564658661072,0.7444831591173054,6008
Mouse,POLYIC_20190510_mouse38__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/mouse/POLYIC_20190510_mouse38__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse38__E2_P1_probability.nii.gz,0.9714357314760006,0.20000000298023224,0.038695616814109254,3783,2828,0.7073278399058269,0.940577790857367,0.9995830880910339,1.0,0.9444579801221572,0.9674437817881393,0.9754607615146993,1.3376944837340876,6611,0.9714357314760006,0.20000000298023224,0.038695616814109254,3783,2828,0.7073278399058269,0.940577790857367,0.9995830880910339,1.0,0.9444579801221572,0.9674437817881393,0.9754607615146993,1.3376944837340876,6611,0.9731923565991395,0.14142135834465194,0.033332835387504145,2652,3504,0.7302675053231846,0.9562642257519763,0.9999265767639932,1.0,0.9477844880233426,0.9768165605986433,0.9695949463746486,0.7568493150684932,6156,0.9732050706997688,0.14142135834465194,0.03329832629538313,2649,3504,0.7303211278637165,0.9563344429214803,1.0,1.0,0.9478086061089293,0.9768421788808365,0.9695949463746486,0.7559931506849316,6153
Mouse,POLYIC_20190510_mouse39__E4_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse39__E4_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse39__E4_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/native_predictions/mouse/POLYIC_20190510_mouse39__E4_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/filtered_predictions/mouse/POLYIC_20190510_mouse39__E4_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/probability_maps/mouse/POLYIC_20190510_mouse39__E4_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/native_predictions/mouse/POLYIC_20190510_mouse39__E4_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse39__E4_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/true_full_resolution_level0_decoder/probability_maps/mouse/POLYIC_20190510_mouse39__E4_P1_probability.nii.gz,0.9694154346941544,0.20000000298023224,0.042024251384579325,3707,3509,0.6903314850238504,0.9296835274461851,0.9990798808687862,1.0,0.9406461801671383,0.9686025731152651,0.9702296617431216,1.0564263322884013,7216,0.9694154346941544,0.20000000298023224,0.042024251384579325,3707,3509,0.6903314850238504,0.9296835274461851,0.9990798808687862,1.0,0.9406461801671383,0.9686025731152651,0.9702296617431216,1.0564263322884013,7216,0.9731503123539161,0.14142135834465194,0.034075830869378085,2945,3373,0.7265541654543691,0.9543206284550481,1.0,1.0,0.9477047362060689,0.9749235786480019,0.9713834850554429,0.8731099911058405,6318,0.9731503123539161,0.14142135834465194,0.034075830869378085,2945,3373,0.7265541654543691,0.9543206284550481,1.0,1.0,0.9477047362060689,0.9749235786480019,0.9713834850554429,0.8731099911058405,6318
